"Tx & Rx configuration: _04.r004.  Date: November 7, 2018, 12:00:00",,,
TX ID,Rx ID,<Distance(m)>,<Power(dBm)>
8,15,38.4926,-52.7352
8,16,63.5514,-59.6849
8,17,91.2026,-69.8558
8,18,119.65,-67.4757
8,19,61.9935,-62.7366
8,20,54.52,-67.8433
8,21,61.8628,-64.7134
8,22,79.8881,-66.3006
8,23,103.249,-66.0552
8,24,129.053,-69.5128
8,25,95.9461,-65.2245
8,26,91.3326,-74.8185
8,27,95.8612,-73.2128
8,28,108.375,-62.6228
8,29,126.573,-58.1668
8,30,148.318,-74.4328
9,1,63.4552,-56.4779
9,2,38.0397,-52.2861
9,3,24.3975,-60.6716
9,4,38.1761,-55.3952
9,5,63.4949,-58.7416
9,6,91.1517,-58.427
9,7,58.6476,-55.7961
9,8,29.2905,-56.2212
9,10,29.2242,-51.2253
9,11,58.5147,-66.8767
9,12,87.7718,-66.5006
9,13,63.787,-63.0835
9,14,38.5968,-52.008
9,15,24.9967,-51.515
9,16,38.3911,-60.2032
9,17,63.5385,-61.698
9,18,91.2116,-64.619
9,19,80.1863,-64.8912
9,20,61.9621,-64.8178
9,21,54.5533,-58.6634
9,22,61.8154,-63.8821
9,23,79.909,-60.687
9,24,103.266,-64.4933
9,25,108.617,-68.9781
9,26,95.9892,-63.8944
9,27,91.3659,-64.9376
9,28,95.8725,-64.0305
9,29,108.403,-72.3461
9,30,126.55,-64.2834
10,1,91.1161,-67.6071
10,2,63.3001,-64.9171
10,3,37.9372,-62.7051
10,4,24.3975,-56.8564
10,5,38.2016,-54.5552
10,6,63.469,-56.7416
10,7,87.8718,-67.0605
10,8,58.5147,-64.048
10,9,29.2242,-57.4394
10,11,29.2905,-53.9558
10,12,58.5476,-60.4338
10,13,91.4169,-59.986
10,14,63.7653,-57.8527
10,15,38.5139,-56.7399
10,16,25.0632,-61.7717
10,17,38.4634,-54.5939
10,18,63.6387,-53.9526
10,19,103.576,-74.1786
10,20,80.1345,-73.8978
10,21,62.0031,-61.245
10,22,54.6198,-65.1783
10,23,61.9485,-65.0559
10,24,80.0258,-63.1831
10,25,126.91,-70.8068
10,26,108.658,-67.5576
10,27,96.0742,-59.9692
10,28,91.4657,-66.4364
10,29,95.9879,-66.906
10,30,108.477,-69.6764
11,1,119.602,-65.4706
11,2,91.0482,-65.2415
11,3,63.2639,-57.6275
11,4,38.0566,-55.8345
11,5,24.4641,-57.5371
11,6,38.1506,-57.9468
11,7,117.162,-71.8889
11,8,87.8052,-57.1105
11,9,58.5147,-65.4923
11,10,29.2905,-55.6644
11,12,29.2571,-59.8667
11,13,119.857,-101.419
11,14,91.4261,-56.9764
11,15,63.6736,-66.0094
11,16,38.6148,-75.4779
11,17,25.0299,-60.3329
11,18,38.485,-51.0878
11,19,129.393,-75.795
11,20,103.519,-60.9132
11,21,80.133,-64.8689
11,22,62.0501,-62.9496
11,23,54.6864,-59.2172
11,24,61.9778,-62.6275
11,25,148.748,-79.8756
11,26,126.912,-67.4911
11,27,108.704,-70.687
11,28,96.1261,-66.7009
11,29,91.499,-76.0451
11,30,95.9777,-66.5944
12,1,148.374,-65.5225
12,2,119.509,-69.965
12,3,90.9783,-73.8859
12,4,63.3636,-60.9802
12,5,38.1204,-65.597
12,6,24.4975,-63.2764
12,7,146.419,-67.2798
12,8,117.062,-69.0041
12,9,87.7718,-70.8273
12,10,58.5476,-63.5259
12,11,29.2571,-74.3466
12,13,148.589,-68.998
12,14,119.824,-63.2868
12,15,91.289,-57.9275
12,16,63.7521,-73.6753
12,17,38.5462,-56.8746
12,18,25.0299,-54.2811
12,19,156.395,-70.3284
12,20,129.288,-68.91
12,21,103.463,-69.9505
12,22,80.1588,-62.692
12,23,62.0795,-61.0408
12,24,54.6864,-60.9324
12,25,172.759,-76.4267
12,26,148.69,-74.3565
12,27,126.912,-66.4681
12,28,108.721,-63.5486
12,29,96.116,-77.2497
12,30,91.4657,-65.8665
13,1,49.3183,-54.0433
13,2,57.4257,-61.2298
13,3,76.7838,-62.312
13,4,100.937,-63.0308
13,5,127.281,-74.0471
13,6,154.624,-75.116
13,7,24.9634,-56.8475
13,8,38.5751,-55.4863
13,9,63.787,-61.0544
13,10,91.4169,-63.7206
13,11,119.857,-66.4707
13,12,148.589,-89.9763
13,14,29.2904,-53.3134
13,15,58.6808,-57.8399
13,16,87.8381,-65.8888
13,17,117.129,-72.3642
13,18,146.419,-71.8258
13,19,29.5566,-58.0534
13,20,41.5876,-53.854
13,21,65.6292,-58.6329
13,22,92.6242,-70.7041
13,23,120.727,-67.4146
13,24,149.3,-84.1358
13,25,66.3027,-66.626
13,26,72.4942,-58.7728
13,27,88.4438,-58.8753
13,28,109.979,-73.9606
13,29,134.506,-77.5039
13,30,160.594,-77.4614
14,1,57.3359,-54.6843
14,2,49.3276,-64.4963
14,3,57.5455,-67.1837
14,4,76.7721,-57.9408
14,5,100.957,-63.0022
14,6,127.233,-65.7268
14,7,38.4672,-55.801
14,8,24.9967,-59.9053
14,9,38.5968,-54.0443
14,10,63.7653,-66.6479
14,11,91.4261,-67.8764
14,12,119.824,-62.5495
14,13,29.2904,-49.9536
14,15,29.3904,-60.5629
14,16,58.5477,-57.0042
14,17,87.8384,-61.8058
14,18,117.129,-73.5343
14,19,41.6588,-54.582
14,20,29.5234,-60.1096
14,21,41.6111,-49.9118
14,22,65.525,-56.0877
14,23,92.6032,-57.5512
14,24,120.727,-66.3037
14,25,72.5317,-63.095
14,26,66.336,-65.2009
14,27,72.4808,-73.5081
14,28,88.3997,-66.7204
14,29,109.979,-68.1815
14,30,134.461,-71.037
15,1,76.5951,-63.6446
15,2,57.3337,-68.3026
15,3,49.3942,-70.5587
15,4,57.5012,-73.1394
15,5,76.7137,-63.3582
15,6,100.812,-73.5265
15,7,63.7354,-66.9316
15,8,38.4926,-54.2407
15,9,24.9967,-50.7828
15,10,38.5139,-55.5371
15,11,63.6736,-60.3086
15,12,91.289,-59.7353
15,13,58.6808,-61.532
15,14,29.3904,-57.3177
15,16,29.1574,-52.3556
15,17,58.448,-69.286
15,18,87.7384,-65.9023
15,19,65.7789,-57.89
15,20,41.6822,-62.0902
15,21,29.5566,-54.0898
15,22,41.4703,-57.71
15,23,65.4359,-64.3973
15,24,92.519,-55.64
15,25,88.6433,-66.5863
15,26,72.6061,-61.2454
15,27,66.3692,-71.0293
15,28,72.444,-64.8742
15,29,88.3585,-71.0745
15,30,109.872,-62.0054
16,1,100.662,-73.8802
16,2,76.4287,-66.6313
16,3,57.2888,-59.7687
16,4,49.4607,-56.222
16,5,57.6093,-61.1085
16,6,76.7645,-64.4597
16,7,91.2757,-67.6858
16,8,63.5514,-64.0265
16,9,38.3911,-59.5569
16,10,25.0632,-48.3958
16,11,38.6148,-56.6352
16,12,63.7521,-74.5863
16,13,87.8381,-77.6023
16,14,58.5477,-60.7102
16,15,29.1574,-51.1248
16,17,29.2906,-51.426
16,18,58.581,-64.5409
16,19,92.7625,-58.9692
16,20,65.6008,-62.3009
16,21,41.589,-58.8185
16,22,29.5566,-52.5779
16,23,41.5879,-60.3752
16,24,65.5698,-56.5133
16,25,110.186,-58.1898
16,26,88.5613,-61.0816
16,27,72.5963,-59.2652
16,28,66.4025,-60.9545
16,29,72.5281,-59.8939
16,30,88.4246,-60.3705
17,1,126.992,-73.2847
17,2,100.578,-67.9169
17,3,76.3991,-56.4299
17,4,57.3684,-65.4822
17,5,49.494,-64.8883
17,6,57.5468,-60.5448
17,7,119.709,-69.8663
17,8,91.2026,-65.1615
17,9,63.5385,-59.3334
17,10,38.4634,-55.2115
17,11,25.0299,-62.0939
17,12,38.5462,-59.8891
17,13,117.129,-67.5031
17,14,87.8384,-59.1645
17,15,58.448,-58.9563
17,16,29.2906,-46.7848
17,18,29.2904,-58.9357
17,19,120.898,-74.6099
17,20,92.7101,-72.3074
17,21,65.6013,-54.0105
17,22,41.6828,-57.9014
17,23,29.6565,-57.806
17,24,41.6352,-50.7432
17,25,134.76,-69.1848
17,26,110.194,-61.3359
17,27,88.6333,-66.5494
17,28,72.684,-60.7347
17,29,66.4691,-67.8099
17,30,72.5451,-70.7837
18,1,154.414,-73.8207
18,2,126.937,-77.6781
18,3,100.569,-79.9995
18,4,76.5398,-57.0422
18,5,57.4713,-60.2875
18,6,49.5274,-52.9262
18,7,148.486,-79.9688
18,8,119.65,-62.1076
18,9,91.2116,-68.2228
18,10,63.6387,-56.9225
18,11,38.485,-51.3829
18,12,25.0299,-51.2927
18,13,146.419,-66.7258
18,14,117.129,-70.999
18,15,87.7384,-62.8539
18,16,58.581,-64.1665
18,17,29.2904,-60.885
18,19,149.465,-84.5408
18,20,120.825,-67.1177
18,21,92.6786,-76.5093
18,22,65.6752,-62.7511
18,23,41.7299,-54.6893
18,24,29.6565,-55.3885
18,25,160.893,-65.4404
18,26,134.719,-68.5588
18,27,110.22,-60.1947
18,28,88.6772,-65.5229
18,29,72.684,-57.4117
18,30,66.4358,-57.757
19,1,78.8749,-62.4803
19,2,84.209,-55.1562
19,3,98.4837,-61.3701
19,4,118.327,-67.2537
19,5,141.504,-71.7017
19,6,166.545,-84.7936
19,7,54.52,-59.1923
19,8,61.9935,-62.0511
19,9,80.1863,-75.2148
19,10,103.576,-69.18
19,11,129.393,-85.398
19,12,156.395,-70.5008
19,13,29.5566,-58.5878
19,14,41.6588,-53.6687
19,15,65.7789,-62.2679
19,16,92.7625,-63.2816
19,17,120.898,-66.4012
19,18,149.465,-63.7092
19,20,29.3571,-50.6716
19,21,58.6808,-55.7362
19,22,87.8714,-61.5837
19,23,117.128,-68.0562
19,24,146.419,-70.4633
19,25,36.7461,-57.7306
19,26,47.0278,-62.0592
19,27,69.1552,-68.9702
19,28,95.1808,-64.9483
19,29,122.719,-72.1921
19,30,150.878,-66.9066
20,1,84.0898,-61.6024
20,2,78.8509,-64.7179
20,3,84.2714,-65.8425
20,4,98.4382,-68.849
20,5,118.298,-68.907
20,6,141.394,-61.1958
20,7,61.8492,-61.5786
20,8,54.52,-56.4069
20,9,61.9621,-63.6639
20,10,80.1345,-58.4804
20,11,103.519,-66.6705
20,12,129.288,-69.9409
20,13,41.5876,-55.6492
20,14,29.5234,-52.6336
20,15,41.6822,-54.7851
20,16,65.6008,-52.8086
20,17,92.7101,-63.0279
20,18,120.825,-69.1626
20,19,29.3571,-53.527
20,21,29.3237,-50.4329
20,22,58.5144,-78.2126
20,23,87.7714,-74.4718
20,24,117.062,-77.939
20,25,47.0903,-56.985
20,26,36.8126,-59.4485
20,27,46.9915,-60.7711
20,28,69.06,-65.683
20,29,95.1322,-60.8772
20,30,122.624,-69.8303
21,1,98.2137,-63.3103
21,2,84.0878,-65.6773
21,3,78.9508,-63.1102
21,4,84.3189,-61.8974
21,5,98.479,-66.2836
21,6,118.246,-65.0766
21,7,80.0101,-64.1009
21,8,61.8628,-63.4692
21,9,54.5533,-59.7739
21,10,62.0031,-67.6921
21,11,80.133,-69.8659
21,12,103.463,-76.1012
